1,2,3,4,5,6,7,8,9,10
"(1023, 420)","(1248, 244)","(873, 208)","(950, 392)","(662, 643)","(632, 290)","(285, 364)","(959, 277)","(617, 242)","(1036, 467)"
"(1120, 431)","(1207, 191)","(845, 154)","(993, 361)","(579, 610)","(640, 310)","(305, 388)","(941, 307)","(515, 293)","(1062, 516)"
"(1132, 492)","(1209, 131)","(843, 104)","(1007, 322)","(506, 558)","(600, 321)","(322, 412)","(919, 336)","(350, 304)","(1002, 549)"
"(1124, 554)","(1191, 70)","(842, 44)","(1021, 284)","(475, 491)","(558, 331)","(340, 435)","(898, 368)","(213, 269)","(921, 578)"
"(1110, 617)","(1096, 50)","(789, 90)","(1004, 239)","(402, 439)","(367, 470)","(516, 342)","(888, 399)","(178, 170)","(835, 600)"
"(1150, 624)","(979, 51)","(748, 153)","(1048, 228)","(277, 425)","(385, 493)","(487, 364)","(938, 423)","(166, 73)","(742, 620)"
"(1191, 631)","(887, 92)","(733, 219)","(1112, 261)","(179, 423)","(415, 487)","(461, 388)","(981, 447)","(101, 125)","(654, 637)"
"(1187, 562)","(836, 155)","(833, 255)","(1165, 289)","(148, 386)","(449, 463)","(433, 413)","(1025, 477)","(117, 232)","(603, 593)"
"(1160, 492)","(830, 94)","(923, 308)","(1086, 314)","(117, 349)","(484, 439)","(431, 439)","(1073, 510)","(140, 342)","(586, 531)"
"(1116, 421)","(740, 118)","(959, 377)","(1007, 338)","(86, 312)","(522, 414)","(451, 469)","(1111, 541)","(268, 356)","(563, 474)"
"(1073, 350)","(730, 191)","(934, 370)","(995, 449)","(87, 227)","(514, 384)","(473, 497)","(1151, 573)","(434, 282)","(522, 426)"
"(1029, 279)","(814, 250)","(862, 402)","(981, 525)","(99, 143)","(505, 354)","(494, 529)","(1183, 610)","(608, 215)","(481, 377)"
"(933, 292)","(930, 222)","(765, 406)","(913, 592)","(125, 56)","(496, 324)","(541, 542)","(1140, 617)","(797, 157)","(424, 325)"
"(996, 359)","(794, 201)","(615, 420)","(794, 630)","(210, 66)","(488, 294)","(599, 549)","(1071, 597)","(1010, 130)","(356, 271)"
"(1058, 426)","(648, 209)","(569, 422)","(658, 619)","(344, 99)","(496, 269)","(655, 559)","(1005, 571)","(1089, 235)","(273, 231)"
"(1033, 507)","(501, 217)","(500, 428)","(589, 550)","(509, 92)","(556, 252)","(713, 566)","(956, 538)","(971, 346)","(247, 298)"
"(904, 548)","(363, 250)","(401, 443)","(550, 470)","(638, 35)","(618, 239)","(775, 576)","(930, 492)","(805, 430)","(221, 367)"
"(775, 590)","(225, 253)","(328, 404)","(555, 390)","(762, 74)","(680, 224)","(836, 585)","(870, 498)","(680, 339)","(195, 436)"
"(662, 554)","(148, 178)","(275, 353)","(447, 428)","(911, 99)","(704, 240)","(868, 557)","(811, 504)","(699, 205)","(165, 511)"
"(602, 514)","(102, 93)","(196, 312)","(298, 403)","(1056, 46)","(727, 256)","(888, 520)","(768, 538)","(789, 77)","(176, 580)"
"(542, 475)","(18, 101)","(96, 322)","(180, 427)","(1068, 122)","(724, 295)","(909, 483)","(760, 587)","(980, 42)","(269, 624)"
"(435, 470)","(10, 191)","(56, 382)","(144, 514)","(1011, 219)","(719, 336)","(930, 450)","(750, 637)","(1172, 8)","(364, 590)"
"(328, 465)","(86, 271)","(68, 447)","(160, 602)","(910, 302)","(717, 377)","(950, 414)","(683, 637)","(1230, 134)","(433, 521)"
"(222, 460)","(115, 361)","(115, 503)","(175, 577)","(751, 284)","(711, 417)","(975, 379)","(631, 609)","(1048, 222)","(495, 452)"
"(115, 455)","(165, 291)","(161, 449)","(190, 552)","(633, 203)","(751, 452)","(991, 341)","(638, 562)","(797, 218)","(586, 420)"
"(83, 549)","(17, 304)","(206, 395)","(266, 572)","(645, 326)","(795, 487)","(963, 306)","(643, 510)","(551, 178)","(650, 488)"
"(69, 641)","(66, 364)","(252, 341)","(326, 516)","(657, 450)","(839, 514)","(934, 271)","(648, 459)","(288, 158)","(732, 552)"
"(157, 584)","(115, 425)","(298, 287)","(377, 455)","(605, 602)","(882, 542)","(906, 233)","(653, 407)","(138, 242)","(842, 605)"
"(32, 582)","(164, 485)","(282, 394)","(398, 419)","(711, 593)","(926, 569)","(876, 196)","(656, 355)","(103, 376)","(953, 582)"
"(73, 676)","(94, 481)","(286, 500)","(501, 402)","(818, 656)","(970, 596)","(847, 160)","(692, 305)","(227, 326)","(1070, 578)"
"(128, 633)","(51, 573)","(400, 568)","(541, 463)","(943, 711)","(988, 556)","(886, 141)","(724, 256)","(310, 187)","(1114, 650)"
"(106, 658)","(157, 535)","(503, 578)","(558, 531)","(1038, 631)","(1008, 512)","(956, 134)","(760, 206)","(385, 43)","(1189, 620)"
"(139, 500)","(279, 644)","(606, 587)","(668, 412)","(1029, 582)","(1027, 473)","(1024, 129)","(789, 158)","(257, 48)","(1216, 544)"
"(172, 342)","(446, 624)","(720, 585)","(829, 357)","(1020, 532)","(1047, 429)","(1063, 164)","(694, 167)","(129, 52)","(1223, 462)"
"(112, 422)","(599, 627)","(831, 568)","(951, 433)","(1010, 483)","(1070, 389)","(1105, 198)","(602, 172)","(148, 194)","(1222, 376)"
"(51, 501)","(701, 556)","(862, 624)","(959, 541)","(1001, 434)","(1082, 346)","(1145, 231)","(506, 185)","(404, 188)","(1219, 299)"
"(25, 471)","(623, 467)","(844, 627)","(797, 585)","(992, 385)","(1089, 303)","(1185, 264)","(451, 209)","(617, 235)","(1142, 235)"
